EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,eval_traj_length,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,new_actions/mean_Mean,new_actions/mean_Std,new_actions/mean_Max,new_actions/mean_Min,new_actions/std_Mean,new_actions/std_Std,new_actions/std_Max,new_actions/std_Min,new_actions/max_Mean,new_actions/max_Std,new_actions/max_Max,new_actions/max_Min,new_actions/min_Mean,new_actions/min_Std,new_actions/min_Max,new_actions/min_Min
42,32.58747172355652,159000,-436.94466,-202.24330,nan,2.99263,10.45515,19.13953,3280.00000,-0.09642,0.02078,-0.03124,-0.17228,0.20622,0.25225,5.50949,0.08712,0.20221,0.25001,5.45272,0.07821,-50.09461,0.60572,-47.93584,-51.80930,-0.21485,0.02872,-0.12045,-0.27701,0.88114,0.01196,0.91290,0.83905,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
43,32.417299032211304,162000,-364.42528,-597.87489,nan,3.17631,11.00199,18.23883,3237.00000,-0.09851,0.02132,-0.04441,-0.18307,0.21404,0.30837,5.49722,0.08855,0.21248,0.30679,5.49544,0.07730,-49.47487,0.61924,-47.55506,-51.15253,-0.20108,0.02468,-0.12637,-0.26255,0.87973,0.01136,0.91322,0.84614,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
44,31.538055181503296,165000,-364.87050,-818.84603,nan,2.91204,10.40748,18.21836,5000.00000,-0.09999,0.02085,-0.03677,-0.17552,0.18317,0.09170,1.78602,0.07289,0.18213,0.09342,1.79708,0.07434,-48.96812,0.56482,-47.17400,-50.65292,-0.18454,0.02171,-0.12549,-0.24739,0.87424,0.01174,0.90973,0.84267,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
45,32.173856019973755,168000,-338.07062,-961.96730,nan,2.97154,10.39684,18.80531,5000.00000,-0.10562,0.02050,-0.04618,-0.18038,0.21533,0.28403,5.90358,0.08479,0.21109,0.28163,5.81059,0.08325,-48.52971,0.59073,-46.22747,-50.16309,-0.16448,0.02186,-0.10250,-0.24395,0.86920,0.01095,0.90628,0.83249,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
46,33.02627372741699,171000,-318.36806,-9.74289,nan,3.00512,10.56585,19.45509,5000.00000,-0.10323,0.02171,-0.03650,-0.17346,0.20530,0.10418,2.46703,0.09702,0.19900,0.10351,2.36652,0.07733,-48.25310,0.68335,-46.01410,-50.09386,-0.17784,0.02524,-0.11145,-0.24686,0.85935,0.01179,0.89410,0.82286,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
47,32.59695076942444,174000,-293.62703,-442.75657,nan,3.06143,10.73198,18.80337,5000.00000,-0.10449,0.02169,-0.05162,-0.18101,0.21730,0.11757,2.33274,0.10234,0.21441,0.12171,2.39147,0.08277,-47.78101,0.69882,-45.50500,-49.62098,-0.16164,0.02435,-0.07474,-0.23358,0.86377,0.01142,0.89457,0.83238,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
48,31.98828625679016,177000,-227.94663,-369.95914,nan,3.07008,10.59060,18.32745,4188.75000,-0.10420,0.02048,-0.04022,-0.18313,0.21909,0.24600,7.57159,0.09862,0.21100,0.24219,7.40096,0.09505,-47.20221,0.71833,-44.46976,-49.00666,-0.15558,0.02308,-0.08154,-0.22497,0.86333,0.01133,0.89322,0.82209,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
49,31.985285997390747,180000,-327.11022,41.27150,nan,3.16705,10.33475,18.48328,5000.00000,-0.10159,0.02174,-0.03834,-0.19192,0.22654,0.15539,3.30392,0.09785,0.21601,0.16018,3.44479,0.08594,-46.49471,0.80873,-43.73318,-48.53977,-0.14777,0.02301,-0.08201,-0.21634,0.86707,0.01141,0.90020,0.82368,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
50,32.45039248466492,183000,-326.61732,-161.98009,nan,3.13089,10.50294,18.81640,4487.00000,-0.10263,0.02204,-0.03863,-0.17728,0.26936,0.43233,9.01557,0.11135,0.25637,0.42733,8.89604,0.09515,-45.76790,0.77066,-43.20998,-47.99502,-0.12421,0.02288,-0.06290,-0.19564,0.87594,0.01044,0.90166,0.84111,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
51,32.55907082557678,186000,-241.68084,-547.33521,nan,3.06136,10.31845,19.03179,4734.75000,-0.10269,0.02133,-0.03681,-0.18062,0.28876,0.46946,9.14568,0.12342,0.27121,0.46964,9.01716,0.11059,-44.90657,0.79521,-41.90306,-47.71683,-0.12476,0.02287,-0.03715,-0.19788,0.88398,0.00947,0.91182,0.85597,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
